,2006.0,2008.0,2012.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2005.0,2007.0,2009.0,2010.0,2011.0,2013.0
Norway,7.416,7.632,7.678,7.444,7.603,7.596,7.579,7.444,7.442,7.29,7.362,7.295,7.249,7.087392095092698,18.325105154954016,,,,,,
Denmark,,7.971,7.52,7.508,7.514,7.558,7.594,7.649,7.693,7.515,7.699,7.545,7.504,8.554775745656247,-11.319650754730212,8.019,7.834,7.683,7.771,7.788,7.589
Sweden,,7.516,7.56,7.239,7.289,7.369,7.287,7.375,7.398,7.314,7.439,7.431,7.161,7.022174884411975,10.04357820906688,7.376,7.241,7.266,7.496,7.382,7.434
Finland,7.672,7.671,7.42,7.385,7.448,7.66,7.788,7.858,7.78,7.889,7.794,7.729,7.699,7.953991930454292,20.617562726909505,,,,7.393,7.354,7.445
Iceland,,6.888,7.591,,7.498,7.51,7.476,,7.533,7.575,7.565,7.449,7.562,7.987209210453843,-25.015882516820692,,,,,,7.501
