Country name
Angola
Azerbaijan
Belarus
Belize
Bhutan
Burundi
Central African Republic
Cuba
Djibouti
Eswatini
Guyana
Haiti
Kuwait
Lesotho
Libya
Maldives
Oman
Qatar
Rwanda
Somalia
Somaliland region
South Sudan
Sudan
Suriname
Syria
Trinidad and Tobago
Turkmenistan
Türkiye
Yemen
